id,HS,TR,AG
20005,0,0,0
20006,1,1,1
20011,0,0,0
20019,1,0,1
20033,1,1,1
20039,0,0,0
20046,1,1,1
20047,0,0,0
20063,1,1,1
20101,0,0,0
20111,1,1,1
20124,0,0,0
20127,0,0,0
20138,1,1,0
20142,0,0,0
20148,0,0,0
20161,0,0,0
20162,1,1,1
20175,1,0,0
20188,0,0,0
20210,0,0,0
20213,1,1,1
20232,1,1,1
20241,1,1,1
20255,0,0,0
20265,1,0,0
20288,1,1,1
20302,0,0,0
20303,0,0,0
20305,1,1,1
20307,1,1,1
20315,1,0,1
20337,1,0,1
20340,1,1,1
20341,1,1,1
20353,1,0,1
20370,0,0,0
20376,0,0,0
20399,1,1,1
20400,0,0,0
20414,0,0,0
20429,0,0,0
20430,0,0,0
20451,0,0,0
20458,1,0,1
20464,1,0,1
20496,0,0,0
20511,0,0,0
20516,0,0,0
20526,0,0,0
20536,1,0,1
20539,0,0,0
20552,0,0,0
20565,0,0,0
20573,0,0,0
20579,1,1,1
20584,1,0,0
20590,1,1,1
20591,1,0,0
20603,0,0,0
20612,0,0,0
20617,1,1,1
20620,1,0,1
20623,1,1,1
20644,0,0,0
20650,0,0,0
20652,1,1,1
20657,1,0,1
20686,0,0,0
20711,1,1,1
20717,0,0,0
20720,1,1,1
20737,1,1,1
20738,0,0,0
20741,1,1,1
20747,1,1,1
20748,0,0,0
20749,0,0,0
20750,0,0,0
20751,1,0,0
20794,0,0,0
20800,1,1,1
20803,0,0,0
20813,0,0,0
20814,0,0,0
20819,0,0,0
20824,0,0,0
20833,1,1,1
20835,1,1,1
20837,1,1,1
20861,0,0,0
20865,0,0,0
20872,1,1,1
20873,0,0,0
20918,0,0,0
20922,0,0,0
20928,0,0,0
20933,0,0,0
20935,0,0,0
20940,0,0,0
20942,0,0,0
20943,0,0,0
20946,1,0,1
20951,0,0,0
20952,0,0,0
20953,1,0,0
20981,1,1,1
20986,0,0,0
20990,0,0,0
21015,1,1,1
21034,1,1,1
21044,0,0,0
21050,0,0,0
21066,1,1,1
21072,1,0,1
21076,1,1,1
21077,0,0,0
21081,0,0,0
21100,0,0,0
21104,1,0,0
21116,0,0,0
